,Unnamed: 0,permutations,route,distances
545,545,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['BALB', '37.721585', '-122.447506'], dtype=object))",COLS -> BALB,22.351999999999997
546,546,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['BAYF', '37.696924', '-122.126514'], dtype=object))",COLS -> BAYF,8.847000000000001
547,547,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['BERY', '37.368473', '-121.874681'], dtype=object))",COLS -> BERY,51.448
548,548,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['CAST', '37.690746', '-122.075602'], dtype=object))",COLS -> CAST,12.77
549,549,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['CIVC', '37.779732', '-122.414123'], dtype=object))",COLS -> CIVC,19.337
550,550,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['COLM', '37.684638', '-122.466233'], dtype=object))",COLS -> COLM,24.933000000000003
551,551,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['CONC', '37.973737', '-122.029095'], dtype=object))",COLS -> CONC,28.594
552,552,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['DALY', '37.706121', '-122.469081'], dtype=object))",COLS -> DALY,24.544
553,553,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['DBRK', '37.870104', '-122.268133'], dtype=object))",COLS -> DBRK,14.398
554,554,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['DUBL', '37.701687', '-121.899179'], dtype=object))",COLS -> DUBL,26.840999999999998
555,555,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['DELN', '37.925086', '-122.316794'], dtype=object))",COLS -> DELN,21.802
556,556,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['PLZA', '37.902632', '-122.298904'], dtype=object))",COLS -> PLZA,18.855
557,557,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['EMBR', '37.792874', '-122.397020'], dtype=object))",COLS -> EMBR,18.144000000000002
558,558,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['FRMT', '37.557465', '-121.976608'], dtype=object))",COLS -> FRMT,29.22
559,559,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['FTVL', '37.774836', '-122.224175'], dtype=object))",COLS -> FTVL,3.366
560,560,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['GLEN', '37.733064', '-122.433817'], dtype=object))",COLS -> GLEN,20.983
561,561,"(array(['COLS', '37.753661', '-122.196869'], dtype=object), array(['HAYW', '37.669723', '-122.087018'], dtype=object))",COLS -> HAYW,13.45
